sr,latitude,longitude,valid_time,t2m,temp,tp
388,18.4,73.75,23-02-24,,-273.15,
389,18.4,73.75,24-02-24,,-273.15,
390,18.4,73.75,25-02-24,,-273.15,
391,18.4,73.75,26-02-24,,-273.15,
392,18.4,73.75,27-02-24,,-273.15,
393,18.4,73.75,28-02-24,,-273.15,
394,18.4,73.75,29-02-24,,-273.15,
395,18.4,73.75,01-03-24,300.42648,27.27648,5.86E-06
396,18.4,73.75,02-03-24,297.71866,24.56866,1.99E-08
397,18.4,73.75,03-03-24,296.12448,22.97448,9.97E-07
398,18.4,73.75,04-03-24,295.49786,22.34786,0
399,18.4,73.75,05-03-24,296.3211,23.1711,0
400,18.4,73.75,06-03-24,297.18573,24.03573,0
401,18.4,73.75,07-03-24,297.4581,24.3081,0
402,18.4,73.75,08-03-24,297.8965,24.7465,0
403,18.4,73.75,09-03-24,298.03104,24.88104,0
404,18.4,73.75,10-03-24,298.29,25.14,0
405,18.4,73.75,11-03-24,298.89786,25.74786,0
406,18.4,73.75,12-03-24,299.29282,26.14282,0
407,18.4,73.75,13-03-24,298.65747,25.50747,0
408,18.4,73.75,14-03-24,298.56522,25.41522,0
409,18.4,73.75,15-03-24,297.8557,24.7057,0
410,18.4,73.75,16-03-24,298.48578,25.33578,0
411,18.4,73.75,17-03-24,299.00424,25.85424,0
412,18.4,73.75,18-03-24,298.60202,25.45202,0
413,18.4,73.75,19-03-24,298.6379,25.4879,0
414,18.4,73.75,20-03-24,298.63718,25.48718,0
415,18.4,73.75,21-03-24,298.99054,25.84054,0
416,18.4,73.75,22-03-24,300.1304,26.9804,0
417,18.4,73.75,23-03-24,300.2079,27.0579,0
418,18.4,73.75,24-03-24,300.26846,27.11846,0
419,18.4,73.75,25-03-24,300.67538,27.52538,0
420,18.4,73.75,26-03-24,301.1578,28.0078,0
421,18.4,73.75,27-03-24,301.57394,28.42394,1.88E-06
422,18.4,73.75,28-03-24,301.75256,28.60256,2.05E-06
423,18.4,73.75,29-03-24,301.62384,28.47384,2.02E-05
424,18.4,73.75,30-03-24,301.77567,28.62567,7.12E-06
425,18.4,73.75,31-03-24,302.1514,29.0014,0
426,18.4,73.75,01-04-24,297.49222,24.34222,0
427,18.4,73.75,02-04-24,,-273.15,
428,18.4,73.75,03-04-24,,-273.15,
429,18.4,73.75,04-04-24,,-273.15,
430,18.4,73.75,05-04-24,,-273.15,
431,18.4,73.75,06-04-24,,-273.15,
432,18.4,73.75,07-04-24,,-273.15,
433,18.4,73.75,08-04-24,,-273.15,
434,18.4,73.75,09-04-24,,-273.15,
435,18.4,73.75,10-04-24,,-273.15,
436,18.4,73.75,11-04-24,,-273.15,
437,18.4,73.75,12-04-24,,-273.15,
438,18.4,73.75,13-04-24,,-273.15,
439,18.4,73.75,14-04-24,,-273.15,
440,18.4,73.75,15-04-24,,-273.15,
441,18.4,73.75,16-04-24,,-273.15,
442,18.4,73.75,17-04-24,,-273.15,
443,18.4,73.75,18-04-24,,-273.15,
444,18.4,73.75,19-04-24,,-273.15,
445,18.4,73.75,20-04-24,,-273.15,
446,18.4,73.75,21-04-24,,-273.15,
447,18.4,73.75,22-04-24,,-273.15,
448,18.4,73.75,23-04-24,,-273.15,
449,18.4,73.75,24-04-24,,-273.15,
450,18.4,73.75,25-04-24,,-273.15,
451,18.4,73.75,26-04-24,,-273.15,
452,18.4,73.75,27-04-24,,-273.15,
453,18.4,73.75,28-04-24,,-273.15,
454,18.4,73.75,29-04-24,,-273.15,
455,18.4,73.75,30-04-24,,-273.15,
456,18.4,73.75,01-05-24,303.4237,30.2737,0
457,18.4,73.75,02-05-24,301.3925,28.2425,0
458,18.4,73.75,03-05-24,301.45883,28.30883,0
459,18.4,73.75,04-05-24,302.03555,28.88555,2.38E-08
460,18.4,73.75,05-05-24,302.52975,29.37975,3.71E-06
461,18.4,73.75,06-05-24,301.9072,28.7572,0
462,18.4,73.75,07-05-24,301.0427,27.8927,3.18E-08
463,18.4,73.75,08-05-24,301.0923,27.9423,2.13E-06
464,18.4,73.75,09-05-24,300.99008,27.84008,2.13E-05
465,18.4,73.75,10-05-24,300.12,26.97,2.66E-05
466,18.4,73.75,11-05-24,301.14798,27.99798,0.000125018
467,18.4,73.75,12-05-24,300.29306,27.14306,6.35E-05
468,18.4,73.75,13-05-24,300.87872,27.72872,9.98E-05
469,18.4,73.75,14-05-24,300.66714,27.51714,7.78E-05
470,18.4,73.75,15-05-24,301.60147,28.45147,3.71E-06
471,18.4,73.75,16-05-24,301.46323,28.31323,3.19E-05
472,18.4,73.75,17-05-24,301.21768,28.06768,4.91E-05
473,18.4,73.75,18-05-24,301.7804,28.6304,4.49E-05
474,18.4,73.75,19-05-24,301.4997,28.3497,0.000642181
475,18.4,73.75,20-05-24,301.75717,28.60717,0.000225418
476,18.4,73.75,21-05-24,302.8259,29.6759,3.23E-05
477,18.4,73.75,22-05-24,301.88647,28.73647,0.000524145
478,18.4,73.75,23-05-24,302.3635,29.2135,5.68E-05
479,18.4,73.75,24-05-24,301.49466,28.34466,6.68E-07
480,18.4,73.75,25-05-24,300.30908,27.15908,1.69E-06
481,18.4,73.75,26-05-24,300.30704,27.15704,2.14E-05
482,18.4,73.75,27-05-24,299.09528,25.94528,2.95E-05
483,18.4,73.75,28-05-24,300.58023,27.43023,2.33E-05
484,18.4,73.75,29-05-24,300.2903,27.1403,1.56E-05
485,18.4,73.75,30-05-24,300.61224,27.46224,6.82E-06
486,18.4,73.75,31-05-24,301.61902,28.46902,7.12E-06
487,18.4,73.75,01-06-24,297.84122,24.69122,4.43E-06
488,18.4,73.75,02-06-24,,-273.15,
489,18.4,73.75,03-06-24,,-273.15,
490,18.4,73.75,04-06-24,,-273.15,
491,18.4,73.75,05-06-24,,-273.15,
492,18.4,73.75,06-06-24,,-273.15,
493,18.4,73.75,07-06-24,,-273.15,
494,18.4,73.75,08-06-24,,-273.15,
495,18.4,73.75,09-06-24,,-273.15,
496,18.4,73.75,10-06-24,,-273.15,
497,18.4,73.75,11-06-24,,-273.15,
498,18.4,73.75,12-06-24,,-273.15,
499,18.4,73.75,13-06-24,,-273.15,
500,18.4,73.75,14-06-24,,-273.15,
501,18.4,73.75,15-06-24,,-273.15,
502,18.4,73.75,16-06-24,,-273.15,
503,18.4,73.75,17-06-24,,-273.15,
504,18.4,73.75,18-06-24,,-273.15,
505,18.4,73.75,19-06-24,,-273.15,
506,18.4,73.75,20-06-24,,-273.15,
507,18.4,73.75,21-06-24,,-273.15,
508,18.4,73.75,22-06-24,,-273.15,
509,18.4,73.75,23-06-24,,-273.15,
510,18.4,73.75,24-06-24,,-273.15,
